,Year,Energy Source,Values
0,1800,"Biofuels (TWh, substituted energy)",0.0
1,1810,"Biofuels (TWh, substituted energy)",0.0
2,1820,"Biofuels (TWh, substituted energy)",0.0
3,1830,"Biofuels (TWh, substituted energy)",0.0
4,1840,"Biofuels (TWh, substituted energy)",0.0
5,1850,"Biofuels (TWh, substituted energy)",0.0
6,1860,"Biofuels (TWh, substituted energy)",0.0
7,1870,"Biofuels (TWh, substituted energy)",0.0
8,1880,"Biofuels (TWh, substituted energy)",0.0
9,1890,"Biofuels (TWh, substituted energy)",0.0
10,1900,"Biofuels (TWh, substituted energy)",0.0
11,1910,"Biofuels (TWh, substituted energy)",0.0
12,1920,"Biofuels (TWh, substituted energy)",0.0
13,1930,"Biofuels (TWh, substituted energy)",0.0
14,1940,"Biofuels (TWh, substituted energy)",0.0
15,1950,"Biofuels (TWh, substituted energy)",0.0
16,1960,"Biofuels (TWh, substituted energy)",0.0
17,1965,"Biofuels (TWh, substituted energy)",9.029861450195312
18,1966,"Biofuels (TWh, substituted energy)",9.209843635559082
19,1967,"Biofuels (TWh, substituted energy)",9.383715629577637
20,1968,"Biofuels (TWh, substituted energy)",9.553799629211426
21,1969,"Biofuels (TWh, substituted energy)",9.723980903625488
22,1970,"Biofuels (TWh, substituted energy)",11.0390625
23,1971,"Biofuels (TWh, substituted energy)",11.649558067321776
24,1972,"Biofuels (TWh, substituted energy)",12.946932792663574
25,1973,"Biofuels (TWh, substituted energy)",12.586639404296877
26,1974,"Biofuels (TWh, substituted energy)",12.167814254760742
27,1975,"Biofuels (TWh, substituted energy)",11.480279922485352
28,1976,"Biofuels (TWh, substituted energy)",11.8699312210083
29,1977,"Biofuels (TWh, substituted energy)",15.85667896270752
30,1978,"Biofuels (TWh, substituted energy)",20.971792221069336
31,1979,"Biofuels (TWh, substituted energy)",26.000825881958008
32,1980,"Biofuels (TWh, substituted energy)",29.85854721069336
33,1981,"Biofuels (TWh, substituted energy)",27.297348022460938
34,1982,"Biofuels (TWh, substituted energy)",35.2225227355957
35,1983,"Biofuels (TWh, substituted energy)",44.50929641723633
36,1984,"Biofuels (TWh, substituted energy)",53.71253204345703
37,1985,"Biofuels (TWh, substituted energy)",63.57527923583984
38,1986,"Biofuels (TWh, substituted energy)",79.67752838134766
39,1987,"Biofuels (TWh, substituted energy)",81.13545989990234
40,1988,"Biofuels (TWh, substituted energy)",85.56256103515625
41,1989,"Biofuels (TWh, substituted energy)",91.30406188964844
42,1990,"Biofuels (TWh, substituted energy)",100.9355926513672
43,1991,"Biofuels (TWh, substituted energy)",106.65062713623048
44,1992,"Biofuels (TWh, substituted energy)",104.65896606445312
45,1993,"Biofuels (TWh, substituted energy)",109.13502502441406
46,1994,"Biofuels (TWh, substituted energy)",117.91619110107422
47,1995,"Biofuels (TWh, substituted energy)",124.0906753540039
48,1996,"Biofuels (TWh, substituted energy)",119.19629669189452
49,1997,"Biofuels (TWh, substituted energy)",124.06340789794922
50,1998,"Biofuels (TWh, substituted energy)",126.48511505126952
51,1999,"Biofuels (TWh, substituted energy)",128.31883239746094
52,2000,"Biofuels (TWh, substituted energy)",125.51532745361328
53,2001,"Biofuels (TWh, substituted energy)",121.65283966064452
54,2002,"Biofuels (TWh, substituted energy)",151.30210876464844
55,2003,"Biofuels (TWh, substituted energy)",171.0836639404297
56,2004,"Biofuels (TWh, substituted energy)",202.19873046875
57,2005,"Biofuels (TWh, substituted energy)",240.344482421875
58,2006,"Biofuels (TWh, substituted energy)",298.0293884277344
59,2007,"Biofuels (TWh, substituted energy)",391.1390075683594
60,2008,"Biofuels (TWh, substituted energy)",527.3995361328125
61,2009,"Biofuels (TWh, substituted energy)",600.3394775390625
62,2010,"Biofuels (TWh, substituted energy)",691.1564331054688
63,2011,"Biofuels (TWh, substituted energy)",728.102294921875
64,2012,"Biofuels (TWh, substituted energy)",754.1318969726562
65,2013,"Biofuels (TWh, substituted energy)",819.0755004882812
66,2014,"Biofuels (TWh, substituted energy)",868.7943725585938
67,2015,"Biofuels (TWh, substituted energy)",905.0957641601562
68,2016,"Biofuels (TWh, substituted energy)",946.94677734375
69,2017,"Biofuels (TWh, substituted energy)",972.5343017578124
70,2018,"Biofuels (TWh, substituted energy)",1045.907958984375
71,2019,"Biofuels (TWh, substituted energy)",1120.1494140625
72,2020,"Biofuels (TWh, substituted energy)",1065.56494140625
73,2021,"Biofuels (TWh, substituted energy)",1139.921142578125
0,1800,"Solar (TWh, substituted energy)",0.0
1,1810,"Solar (TWh, substituted energy)",0.0
2,1820,"Solar (TWh, substituted energy)",0.0
3,1830,"Solar (TWh, substituted energy)",0.0
4,1840,"Solar (TWh, substituted energy)",0.0
5,1850,"Solar (TWh, substituted energy)",0.0
6,1860,"Solar (TWh, substituted energy)",0.0
7,1870,"Solar (TWh, substituted energy)",0.0
8,1880,"Solar (TWh, substituted energy)",0.0
9,1890,"Solar (TWh, substituted energy)",0.0
10,1900,"Solar (TWh, substituted energy)",0.0
11,1910,"Solar (TWh, substituted energy)",0.0
12,1920,"Solar (TWh, substituted energy)",0.0
13,1930,"Solar (TWh, substituted energy)",0.0
14,1940,"Solar (TWh, substituted energy)",0.0
15,1950,"Solar (TWh, substituted energy)",0.0
16,1960,"Solar (TWh, substituted energy)",0.0
17,1965,"Solar (TWh, substituted energy)",0.0
18,1966,"Solar (TWh, substituted energy)",0.0
19,1967,"Solar (TWh, substituted energy)",0.0
20,1968,"Solar (TWh, substituted energy)",0.0
21,1969,"Solar (TWh, substituted energy)",0.0
22,1970,"Solar (TWh, substituted energy)",0.0
23,1971,"Solar (TWh, substituted energy)",0.0
24,1972,"Solar (TWh, substituted energy)",0.0
25,1973,"Solar (TWh, substituted energy)",0.0
26,1974,"Solar (TWh, substituted energy)",0.0
27,1975,"Solar (TWh, substituted energy)",0.0
28,1976,"Solar (TWh, substituted energy)",0.0
29,1977,"Solar (TWh, substituted energy)",0.0
30,1978,"Solar (TWh, substituted energy)",0.0
31,1979,"Solar (TWh, substituted energy)",0.0
32,1980,"Solar (TWh, substituted energy)",0.0
33,1981,"Solar (TWh, substituted energy)",0.0
34,1982,"Solar (TWh, substituted energy)",0.0
35,1983,"Solar (TWh, substituted energy)",0.0088611105456948
36,1984,"Solar (TWh, substituted energy)",0.0186666660010814
37,1985,"Solar (TWh, substituted energy)",0.0347372181713581
38,1986,"Solar (TWh, substituted energy)",0.0448983311653137
39,1987,"Solar (TWh, substituted energy)",0.0313530527055263
40,1988,"Solar (TWh, substituted energy)",0.0301494430750608
41,1989,"Solar (TWh, substituted energy)",0.7753913402557373
42,1990,"Solar (TWh, substituted energy)",1.148183822631836
43,1991,"Solar (TWh, substituted energy)",1.4938794374465942
44,1992,"Solar (TWh, substituted energy)",1.3796871900558472
45,1993,"Solar (TWh, substituted energy)",1.6461485624313354
46,1994,"Solar (TWh, substituted energy)",1.7653638124465942
47,1995,"Solar (TWh, substituted energy)",1.888965606689453
48,1996,"Solar (TWh, substituted energy)",2.0675506591796875
49,1997,"Solar (TWh, substituted energy)",2.216514110565185
50,1998,"Solar (TWh, substituted energy)",2.4004509449005127
51,1999,"Solar (TWh, substituted energy)",2.6766574382781982
52,2000,"Solar (TWh, substituted energy)",3.1313633918762207
53,2001,"Solar (TWh, substituted energy)",4.181310653686523
54,2002,"Solar (TWh, substituted energy)",5.251040458679199
55,2003,"Solar (TWh, substituted energy)",6.540081024169922
56,2004,"Solar (TWh, substituted energy)",8.56289005279541
57,2005,"Solar (TWh, substituted energy)",11.98942756652832
58,2006,"Solar (TWh, substituted energy)",16.394763946533203
59,2007,"Solar (TWh, substituted energy)",22.1060848236084
60,2008,"Solar (TWh, substituted energy)",35.68049621582031
61,2009,"Solar (TWh, substituted energy)",58.8535385131836
62,2010,"Solar (TWh, substituted energy)",94.12339782714844
63,2011,"Solar (TWh, substituted energy)",180.9189910888672
64,2012,"Solar (TWh, substituted energy)",278.41851806640625
65,2013,"Solar (TWh, substituted energy)",377.7468566894531
66,2014,"Solar (TWh, substituted energy)",531.948974609375
67,2015,"Solar (TWh, substituted energy)",686.0070190429688
68,2016,"Solar (TWh, substituted energy)",876.9552612304688
69,2017,"Solar (TWh, substituted energy)",1185.5150146484375
70,2018,"Solar (TWh, substituted energy)",1524.5496826171875
71,2019,"Solar (TWh, substituted energy)",1855.5921630859373
72,2020,"Solar (TWh, substituted energy)",2222.443115234375
73,2021,"Solar (TWh, substituted energy)",2701.72216796875
0,1800,"Wind (TWh, substituted energy)",0.0
1,1810,"Wind (TWh, substituted energy)",0.0
2,1820,"Wind (TWh, substituted energy)",0.0
3,1830,"Wind (TWh, substituted energy)",0.0
4,1840,"Wind (TWh, substituted energy)",0.0
5,1850,"Wind (TWh, substituted energy)",0.0
6,1860,"Wind (TWh, substituted energy)",0.0
7,1870,"Wind (TWh, substituted energy)",0.0
8,1880,"Wind (TWh, substituted energy)",0.0
9,1890,"Wind (TWh, substituted energy)",0.0
10,1900,"Wind (TWh, substituted energy)",0.0
11,1910,"Wind (TWh, substituted energy)",0.0
12,1920,"Wind (TWh, substituted energy)",0.0
13,1930,"Wind (TWh, substituted energy)",0.0
14,1940,"Wind (TWh, substituted energy)",0.0
15,1950,"Wind (TWh, substituted energy)",0.0
16,1960,"Wind (TWh, substituted energy)",0.0
17,1965,"Wind (TWh, substituted energy)",0.0
18,1966,"Wind (TWh, substituted energy)",0.0
19,1967,"Wind (TWh, substituted energy)",0.0
20,1968,"Wind (TWh, substituted energy)",0.0
21,1969,"Wind (TWh, substituted energy)",0.0
22,1970,"Wind (TWh, substituted energy)",0.0
23,1971,"Wind (TWh, substituted energy)",0.0
24,1972,"Wind (TWh, substituted energy)",0.0
25,1973,"Wind (TWh, substituted energy)",0.0
26,1974,"Wind (TWh, substituted energy)",0.0
27,1975,"Wind (TWh, substituted energy)",0.0
28,1976,"Wind (TWh, substituted energy)",0.0
29,1977,"Wind (TWh, substituted energy)",0.0
30,1978,"Wind (TWh, substituted energy)",0.0088611105456948
31,1979,"Wind (TWh, substituted energy)",0.0177499987185001
32,1980,"Wind (TWh, substituted energy)",0.0310483332723379
33,1981,"Wind (TWh, substituted energy)",0.0310483332723379
34,1982,"Wind (TWh, substituted energy)",0.054704163223505
35,1983,"Wind (TWh, substituted energy)",0.0969744473695755
36,1984,"Wind (TWh, substituted energy)",0.132341668009758
37,1985,"Wind (TWh, substituted energy)",0.1898983269929886
38,1986,"Wind (TWh, substituted energy)",0.4105227887630462
39,1987,"Wind (TWh, substituted energy)",0.5777269601821899
40,1988,"Wind (TWh, substituted energy)",0.9804777503013612
41,1989,"Wind (TWh, substituted energy)",7.835361003875732
42,1990,"Wind (TWh, substituted energy)",10.741175651550291
43,1991,"Wind (TWh, substituted energy)",12.08434772491455
44,1992,"Wind (TWh, substituted energy)",13.996057510375977
45,1993,"Wind (TWh, substituted energy)",16.8476505279541
46,1994,"Wind (TWh, substituted energy)",21.062427520751957
47,1995,"Wind (TWh, substituted energy)",24.430418014526367
48,1996,"Wind (TWh, substituted energy)",27.21790313720703
49,1997,"Wind (TWh, substituted energy)",35.53655242919922
50,1998,"Wind (TWh, substituted energy)",47.0789909362793
51,1999,"Wind (TWh, substituted energy)",62.73599624633789
52,2000,"Wind (TWh, substituted energy)",92.87144470214844
53,2001,"Wind (TWh, substituted energy)",112.7565689086914
54,2002,"Wind (TWh, substituted energy)",152.78575134277344
55,2003,"Wind (TWh, substituted energy)",183.53549194335935
56,2004,"Wind (TWh, substituted energy)",246.744873046875
57,2005,"Wind (TWh, substituted energy)",299.6399841308594
58,2006,"Wind (TWh, substituted energy)",379.8566589355469
59,2007,"Wind (TWh, substituted energy)",484.9559326171875
60,2008,"Wind (TWh, substituted energy)",622.1779174804688
61,2009,"Wind (TWh, substituted energy)",773.0018310546875
62,2010,"Wind (TWh, substituted energy)",961.52880859375
63,2011,"Wind (TWh, substituted energy)",1214.86669921875
64,2012,"Wind (TWh, substituted energy)",1454.5869140625
65,2013,"Wind (TWh, substituted energy)",1732.0169677734375
66,2014,"Wind (TWh, substituted energy)",1912.226806640625
67,2015,"Wind (TWh, substituted energy)",2238.78564453125
68,2016,"Wind (TWh, substituted energy)",2575.582275390625
69,2017,"Wind (TWh, substituted energy)",3034.9169921875
70,2018,"Wind (TWh, substituted energy)",3360.0185546875
71,2019,"Wind (TWh, substituted energy)",3744.514892578125
72,2020,"Wind (TWh, substituted energy)",4192.68212890625
73,2021,"Wind (TWh, substituted energy)",4872.0947265625
0,1800,"Hydropower (TWh, substituted energy)",0.0
1,1810,"Hydropower (TWh, substituted energy)",0.0
2,1820,"Hydropower (TWh, substituted energy)",0.0
3,1830,"Hydropower (TWh, substituted energy)",0.0
4,1840,"Hydropower (TWh, substituted energy)",0.0
5,1850,"Hydropower (TWh, substituted energy)",0.0
6,1860,"Hydropower (TWh, substituted energy)",0.0
7,1870,"Hydropower (TWh, substituted energy)",0.0
8,1880,"Hydropower (TWh, substituted energy)",0.0
9,1890,"Hydropower (TWh, substituted energy)",38.88888931274414
10,1900,"Hydropower (TWh, substituted energy)",47.22222137451172
11,1910,"Hydropower (TWh, substituted energy)",91.66666412353516
12,1920,"Hydropower (TWh, substituted energy)",177.77777099609375
13,1930,"Hydropower (TWh, substituted energy)",363.8888854980469
14,1940,"Hydropower (TWh, substituted energy)",533.3333129882812
15,1950,"Hydropower (TWh, substituted energy)",925.0
16,1960,"Hydropower (TWh, substituted energy)",1913.888916015625
17,1965,"Hydropower (TWh, substituted energy)",2729.886474609375
18,1966,"Hydropower (TWh, substituted energy)",2909.135986328125
19,1967,"Hydropower (TWh, substituted energy)",2973.96923828125
20,1968,"Hydropower (TWh, substituted energy)",3132.30517578125
21,1969,"Hydropower (TWh, substituted energy)",3316.98046875
22,1970,"Hydropower (TWh, substituted energy)",3473.426513671875
23,1971,"Hydropower (TWh, substituted energy)",3628.94189453125
24,1972,"Hydropower (TWh, substituted energy)",3798.634033203125
25,1973,"Hydropower (TWh, substituted energy)",3852.9951171875
26,1974,"Hydropower (TWh, substituted energy)",4232.13671875
27,1975,"Hydropower (TWh, substituted energy)",4284.33251953125
28,1976,"Hydropower (TWh, substituted energy)",4267.33935546875
29,1977,"Hydropower (TWh, substituted energy)",4410.85888671875
30,1978,"Hydropower (TWh, substituted energy)",4773.7109375
31,1979,"Hydropower (TWh, substituted energy)",5012.64697265625
32,1980,"Hydropower (TWh, substituted energy)",5120.46875
33,1981,"Hydropower (TWh, substituted energy)",5230.62841796875
34,1982,"Hydropower (TWh, substituted energy)",5325.265625
35,1983,"Hydropower (TWh, substituted energy)",5552.54248046875
36,1984,"Hydropower (TWh, substituted energy)",5740.6201171875
37,1985,"Hydropower (TWh, substituted energy)",5854.19384765625
38,1986,"Hydropower (TWh, substituted energy)",5933.47314453125
39,1987,"Hydropower (TWh, substituted energy)",6013.859375
40,1988,"Hydropower (TWh, substituted energy)",6206.5634765625
41,1989,"Hydropower (TWh, substituted energy)",6173.58251953125
42,1990,"Hydropower (TWh, substituted energy)",6383.380859375
43,1991,"Hydropower (TWh, substituted energy)",6532.16259765625
44,1992,"Hydropower (TWh, substituted energy)",6530.3935546875
45,1993,"Hydropower (TWh, substituted energy)",6923.66455078125
46,1994,"Hydropower (TWh, substituted energy)",6967.2451171875
47,1995,"Hydropower (TWh, substituted energy)",7344.2119140625
48,1996,"Hydropower (TWh, substituted energy)",7442.81689453125
49,1997,"Hydropower (TWh, substituted energy)",7572.9384765625
50,1998,"Hydropower (TWh, substituted energy)",7631.9765625
51,1999,"Hydropower (TWh, substituted energy)",7689.77783203125
52,2000,"Hydropower (TWh, substituted energy)",7826.166015625
53,2001,"Hydropower (TWh, substituted energy)",7575.6201171875
54,2002,"Hydropower (TWh, substituted energy)",7665.61865234375
55,2003,"Hydropower (TWh, substituted energy)",7606.5068359375
56,2004,"Hydropower (TWh, substituted energy)",8116.03759765625
57,2005,"Hydropower (TWh, substituted energy)",8336.203125
58,2006,"Hydropower (TWh, substituted energy)",8599.056640625
59,2007,"Hydropower (TWh, substituted energy)",8688.974609375
60,2008,"Hydropower (TWh, substituted energy)",9136.708984375
61,2009,"Hydropower (TWh, substituted energy)",9066.2998046875
62,2010,"Hydropower (TWh, substituted energy)",9518.0419921875
63,2011,"Hydropower (TWh, substituted energy)",9635.0751953125
64,2012,"Hydropower (TWh, substituted energy)",9985.884765625
65,2013,"Hydropower (TWh, substituted energy)",10324.787109375
66,2014,"Hydropower (TWh, substituted energy)",10535.7412109375
67,2015,"Hydropower (TWh, substituted energy)",10444.337890625
68,2016,"Hydropower (TWh, substituted energy)",10741.4853515625
69,2017,"Hydropower (TWh, substituted energy)",10831.4052734375
70,2018,"Hydropower (TWh, substituted energy)",11067.517578125
71,2019,"Hydropower (TWh, substituted energy)",11153.7919921875
72,2020,"Hydropower (TWh, substituted energy)",11413.8271484375
73,2021,"Hydropower (TWh, substituted energy)",11183.2255859375
0,1800,"Nuclear (TWh, substituted energy)",0.0
1,1810,"Nuclear (TWh, substituted energy)",0.0
2,1820,"Nuclear (TWh, substituted energy)",0.0
3,1830,"Nuclear (TWh, substituted energy)",0.0
4,1840,"Nuclear (TWh, substituted energy)",0.0
5,1850,"Nuclear (TWh, substituted energy)",0.0
6,1860,"Nuclear (TWh, substituted energy)",0.0
7,1870,"Nuclear (TWh, substituted energy)",0.0
8,1880,"Nuclear (TWh, substituted energy)",0.0
9,1890,"Nuclear (TWh, substituted energy)",0.0
10,1900,"Nuclear (TWh, substituted energy)",0.0
11,1910,"Nuclear (TWh, substituted energy)",0.0
12,1920,"Nuclear (TWh, substituted energy)",0.0
13,1930,"Nuclear (TWh, substituted energy)",0.0
14,1940,"Nuclear (TWh, substituted energy)",0.0
15,1950,"Nuclear (TWh, substituted energy)",0.0
16,1960,"Nuclear (TWh, substituted energy)",0.0
17,1965,"Nuclear (TWh, substituted energy)",72.46934509277344
18,1966,"Nuclear (TWh, substituted energy)",97.70497131347656
19,1967,"Nuclear (TWh, substituted energy)",116.3551788330078
20,1968,"Nuclear (TWh, substituted energy)",147.87188720703125
21,1969,"Nuclear (TWh, substituted energy)",175.31134033203125
22,1970,"Nuclear (TWh, substituted energy)",223.8080139160156
23,1971,"Nuclear (TWh, substituted energy)",311.2872314453125
24,1972,"Nuclear (TWh, substituted energy)",431.79925537109375
25,1973,"Nuclear (TWh, substituted energy)",578.57373046875
26,1974,"Nuclear (TWh, substituted energy)",756.4817504882812
27,1975,"Nuclear (TWh, substituted energy)",1049.44970703125
28,1976,"Nuclear (TWh, substituted energy)",1227.7115478515625
29,1977,"Nuclear (TWh, substituted energy)",1528.137451171875
30,1978,"Nuclear (TWh, substituted energy)",1775.700927734375
31,1979,"Nuclear (TWh, substituted energy)",1846.8245849609373
32,1980,"Nuclear (TWh, substituted energy)",2020.0955810546875
33,1981,"Nuclear (TWh, substituted energy)",2385.642822265625
34,1982,"Nuclear (TWh, substituted energy)",2588.3173828125
35,1983,"Nuclear (TWh, substituted energy)",2933.458984375
36,1984,"Nuclear (TWh, substituted energy)",3559.856689453125
37,1985,"Nuclear (TWh, substituted energy)",4224.83740234375
38,1986,"Nuclear (TWh, substituted energy)",4525.08642578125
39,1987,"Nuclear (TWh, substituted energy)",4922.3310546875
40,1988,"Nuclear (TWh, substituted energy)",5366.4482421875
41,1989,"Nuclear (TWh, substituted energy)",5518.99609375
42,1990,"Nuclear (TWh, substituted energy)",5676.3408203125
43,1991,"Nuclear (TWh, substituted energy)",5947.9267578125
44,1992,"Nuclear (TWh, substituted energy)",5993.08447265625
45,1993,"Nuclear (TWh, substituted energy)",6199.47607421875
46,1994,"Nuclear (TWh, substituted energy)",6315.8662109375
47,1995,"Nuclear (TWh, substituted energy)",6589.8330078125
48,1996,"Nuclear (TWh, substituted energy)",6829.33349609375
49,1997,"Nuclear (TWh, substituted energy)",6782.4453125
50,1998,"Nuclear (TWh, substituted energy)",6899.19580078125
51,1999,"Nuclear (TWh, substituted energy)",7161.75341796875
52,2000,"Nuclear (TWh, substituted energy)",7323.33984375
53,2001,"Nuclear (TWh, substituted energy)",7481.20849609375
54,2002,"Nuclear (TWh, substituted energy)",7551.708984375
55,2003,"Nuclear (TWh, substituted energy)",7351.345703125
56,2004,"Nuclear (TWh, substituted energy)",7636.44970703125
57,2005,"Nuclear (TWh, substituted energy)",7608.0732421875
58,2006,"Nuclear (TWh, substituted energy)",7654.41943359375
59,2007,"Nuclear (TWh, substituted energy)",7451.5478515625
60,2008,"Nuclear (TWh, substituted energy)",7382.28466796875
61,2009,"Nuclear (TWh, substituted energy)",7232.9384765625
62,2010,"Nuclear (TWh, substituted energy)",7373.7333984375
63,2011,"Nuclear (TWh, substituted energy)",7022.1484375
64,2012,"Nuclear (TWh, substituted energy)",6500.9921875
65,2013,"Nuclear (TWh, substituted energy)",6513.49169921875
66,2014,"Nuclear (TWh, substituted energy)",6606.67822265625
67,2015,"Nuclear (TWh, substituted energy)",6655.75634765625
68,2016,"Nuclear (TWh, substituted energy)",6714.7958984375
69,2017,"Nuclear (TWh, substituted energy)",6734.873046875
70,2018,"Nuclear (TWh, substituted energy)",6856.0166015625
71,2019,"Nuclear (TWh, substituted energy)",7073.28955078125
72,2020,"Nuclear (TWh, substituted energy)",6789.3017578125
73,2021,"Nuclear (TWh, substituted energy)",7031.33935546875
0,1800,"Gas (TWh, substituted energy)",0.0
1,1810,"Gas (TWh, substituted energy)",0.0
2,1820,"Gas (TWh, substituted energy)",0.0
3,1830,"Gas (TWh, substituted energy)",0.0
4,1840,"Gas (TWh, substituted energy)",0.0
5,1850,"Gas (TWh, substituted energy)",0.0
6,1860,"Gas (TWh, substituted energy)",0.0
7,1870,"Gas (TWh, substituted energy)",0.0
8,1880,"Gas (TWh, substituted energy)",0.0
9,1890,"Gas (TWh, substituted energy)",33.0
10,1900,"Gas (TWh, substituted energy)",64.0
11,1910,"Gas (TWh, substituted energy)",142.0
12,1920,"Gas (TWh, substituted energy)",233.0
13,1930,"Gas (TWh, substituted energy)",603.0
14,1940,"Gas (TWh, substituted energy)",875.0
15,1950,"Gas (TWh, substituted energy)",2092.0
16,1960,"Gas (TWh, substituted energy)",4472.0
17,1965,"Gas (TWh, substituted energy)",6303.798828125
18,1966,"Gas (TWh, substituted energy)",6868.79443359375
19,1967,"Gas (TWh, substituted energy)",7374.03955078125
20,1968,"Gas (TWh, substituted energy)",8044.33154296875
21,1969,"Gas (TWh, substituted energy)",8833.41796875
22,1970,"Gas (TWh, substituted energy)",9614.7919921875
23,1971,"Gas (TWh, substituted energy)",10293.2001953125
24,1972,"Gas (TWh, substituted energy)",10861.7236328125
25,1973,"Gas (TWh, substituted energy)",11377.837890625
26,1974,"Gas (TWh, substituted energy)",11659.865234375
27,1975,"Gas (TWh, substituted energy)",11659.7412109375
28,1976,"Gas (TWh, substituted energy)",12354.1435546875
29,1977,"Gas (TWh, substituted energy)",12759.8427734375
30,1978,"Gas (TWh, substituted energy)",13293.9521484375
31,1979,"Gas (TWh, substituted energy)",14118.0322265625
32,1980,"Gas (TWh, substituted energy)",14236.9609375
33,1981,"Gas (TWh, substituted energy)",14395.8740234375
34,1982,"Gas (TWh, substituted energy)",14469.7353515625
35,1983,"Gas (TWh, substituted energy)",14703.8330078125
36,1984,"Gas (TWh, substituted energy)",15902.6806640625
