,Year,Cost,Energy Cost,Capacity,Energy Source
147,2003,,Bioenergy levelized cost of energy,823047.4969,Hydropower
148,2003,,Bioenergy levelized cost of energy,38159.196,Onshore wind energy
149,2003,,Bioenergy levelized cost of energy,510.35,Offshore wind energy
150,2003,,Bioenergy levelized cost of energy,1965.03,Solar photovoltaic
151,2003,,Bioenergy levelized cost of energy,388.4,Concentrated solar power
152,2003,,Bioenergy levelized cost of energy,34934.228,Bioenergy
153,2003,,Bioenergy levelized cost of energy,8200.05,Geothermal
154,2003,,Geothermal levelized cost of energy,823047.4969,Hydropower
155,2003,,Geothermal levelized cost of energy,38159.196,Onshore wind energy
156,2003,,Geothermal levelized cost of energy,510.35,Offshore wind energy
157,2003,,Geothermal levelized cost of energy,1965.03,Solar photovoltaic
158,2003,,Geothermal levelized cost of energy,388.4,Concentrated solar power
159,2003,,Geothermal levelized cost of energy,34934.228,Bioenergy
160,2003,,Geothermal levelized cost of energy,8200.05,Geothermal
161,2003,0.12575519,Offshore wind levelized cost of energy,823047.4969,Hydropower
162,2003,0.12575519,Offshore wind levelized cost of energy,38159.196,Onshore wind energy
163,2003,0.12575519,Offshore wind levelized cost of energy,510.35,Offshore wind energy
164,2003,0.12575519,Offshore wind levelized cost of energy,1965.03,Solar photovoltaic
165,2003,0.12575519,Offshore wind levelized cost of energy,388.4,Concentrated solar power
166,2003,0.12575519,Offshore wind levelized cost of energy,34934.228,Bioenergy
167,2003,0.12575519,Offshore wind levelized cost of energy,8200.05,Geothermal
168,2003,,Solar photovoltaic levelized cost of energy,823047.4969,Hydropower
169,2003,,Solar photovoltaic levelized cost of energy,38159.196,Onshore wind energy
170,2003,,Solar photovoltaic levelized cost of energy,510.35,Offshore wind energy
171,2003,,Solar photovoltaic levelized cost of energy,1965.03,Solar photovoltaic
172,2003,,Solar photovoltaic levelized cost of energy,388.4,Concentrated solar power
173,2003,,Solar photovoltaic levelized cost of energy,34934.228,Bioenergy
174,2003,,Solar photovoltaic levelized cost of energy,8200.05,Geothermal
175,2003,,Concentrated solar power levelized cost of energy,823047.4969,Hydropower
176,2003,,Concentrated solar power levelized cost of energy,38159.196,Onshore wind energy
177,2003,,Concentrated solar power levelized cost of energy,510.35,Offshore wind energy
178,2003,,Concentrated solar power levelized cost of energy,1965.03,Solar photovoltaic
179,2003,,Concentrated solar power levelized cost of energy,388.4,Concentrated solar power
180,2003,,Concentrated solar power levelized cost of energy,34934.228,Bioenergy
181,2003,,Concentrated solar power levelized cost of energy,8200.05,Geothermal
182,2003,,Hydropower levelized cost of energy,823047.4969,Hydropower
183,2003,,Hydropower levelized cost of energy,38159.196,Onshore wind energy
184,2003,,Hydropower levelized cost of energy,510.35,Offshore wind energy
185,2003,,Hydropower levelized cost of energy,1965.03,Solar photovoltaic
186,2003,,Hydropower levelized cost of energy,388.4,Concentrated solar power
187,2003,,Hydropower levelized cost of energy,34934.228,Bioenergy
188,2003,,Hydropower levelized cost of energy,8200.05,Geothermal
189,2003,0.11504814,Onshore wind levelized cost of energy,823047.4969,Hydropower
190,2003,0.11504814,Onshore wind levelized cost of energy,38159.196,Onshore wind energy
191,2003,0.11504814,Onshore wind levelized cost of energy,510.35,Offshore wind energy
192,2003,0.11504814,Onshore wind levelized cost of energy,1965.03,Solar photovoltaic
193,2003,0.11504814,Onshore wind levelized cost of energy,388.4,Concentrated solar power
194,2003,0.11504814,Onshore wind levelized cost of energy,34934.228,Bioenergy
195,2003,0.11504814,Onshore wind levelized cost of energy,8200.05,Geothermal
196,2004,,Bioenergy levelized cost of energy,845265.7309,Hydropower
197,2004,,Bioenergy levelized cost of energy,47088.842,Onshore wind energy
198,2004,,Bioenergy levelized cost of energy,595.55,Offshore wind energy
